Id,Prediction
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,1
