Id,Prediction
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,1
329,1
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,1
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,1
576,0
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,1
598,1
599,0
600,1
601,0
